"ID_Anio";"Desc_Anio"
1;"1700"
2;"1701"
3;"1702"
4;"1703"
5;"1704"
6;"1705"
7;"1706"
8;"1707"
9;"1708"
10;"1709"
11;"1710"
12;"1711"
13;"1712"
14;"1713"
15;"1714"
16;"1715"
17;"1716"
18;"1717"
19;"1718"
20;"1719"
21;"1720"
22;"1721"
23;"1722"
24;"1723"
25;"1724"
26;"1725"
27;"1726"
28;"1727"
29;"1728"
30;"1729"
31;"1730"
32;"1731"
33;"1732"
34;"1733"
35;"1734"
36;"1735"
37;"1736"
38;"1737"
39;"1738"
40;"1739"
41;"1740"
42;"1741"
43;"1742"
44;"1743"
45;"1744"
46;"1745"
47;"1746"
48;"1747"
49;"1748"
50;"1749"
51;"1750"
52;"1751"
53;"1752"
54;"1753"
55;"1754"
56;"1755"
57;"1756"
58;"1757"
59;"1758"
60;"1759"
61;"1760"
62;"1761"
63;"1762"
64;"1763"
65;"1764"
66;"1765"
67;"1766"
68;"1767"
69;"1768"
70;"1769"
71;"1770"
72;"1771"
73;"1772"
74;"1773"
75;"1774"
76;"1775"
77;"1776"
78;"1777"
79;"1778"
80;"1779"
81;"1780"
82;"1781"
83;"1782"
84;"1783"
85;"1784"
86;"1785"
87;"1786"
88;"1787"
89;"1788"
90;"1789"
91;"1790"
92;"1791"
93;"1792"
94;"1793"
95;"1794"
96;"1795"
97;"1796"
98;"1797"
99;"1798"
100;"1799"
101;"1800"
102;"1801"
103;"1802"
104;"1803"
105;"1804"
106;"1805"
107;"1806"
108;"1807"
109;"1808"
110;"1809"
111;"1810"
112;"1811"
113;"1812"
114;"1813"
115;"1814"
116;"1815"
117;"1816"
118;"1817"
119;"1818"
120;"1819"
121;"1820"
122;"1821"
123;"1822"
124;"1823"
125;"1824"
126;"1825"
127;"1826"
128;"1827"
129;"1828"
130;"1829"
131;"1830"
132;"1831"
133;"1832"
134;"1833"
135;"1834"
136;"1835"
137;"1836"
138;"1837"
139;"1838"
140;"1839"
141;"1840"
142;"1841"
143;"1842"
144;"1843"
145;"1844"
146;"1845"
147;"1846"
148;"1847"
149;"1848"
150;"1849"
151;"1850"
152;"1851"
153;"1852"
154;"1853"
155;"1854"
156;"1855"
157;"1856"
158;"1857"
159;"1858"
160;"1859"
161;"1860"
162;"1861"
163;"1862"
164;"1863"
165;"1864"
166;"1865"
167;"1866"
168;"1867"
169;"1868"
170;"1869"
171;"1870"
172;"1871"
173;"1872"
174;"1873"
175;"1874"
176;"1875"
177;"1876"
178;"1877"
179;"1878"
180;"1879"
181;"1880"
182;"1881"
183;"1882"
184;"1883"
185;"1884"
186;"1885"
187;"1886"
188;"1887"
189;"1888"
190;"1889"
191;"1890"
192;"1891"
193;"1892"
194;"1893"
195;"1894"
196;"1895"
197;"1896"
198;"1897"
199;"1898"
200;"1899"
201;"1900"
202;"1901"
203;"1902"
204;"1903"
205;"1904"
206;"1905"
207;"1906"
208;"1907"
209;"1908"
210;"1909"
211;"1910"
212;"1911"
213;"1912"
214;"1913"
215;"1914"
216;"1915"
217;"1916"
218;"1917"
219;"1918"
220;"1919"
221;"1920"
222;"1921"
223;"1922"
224;"1923"
225;"1924"
226;"1925"
227;"1926"
228;"1927"
229;"1928"
230;"1929"
231;"1930"
232;"1931"
233;"1932"
234;"1933"
235;"1934"
236;"1935"
237;"1936"
238;"1937"
239;"1938"
240;"1939"
241;"1940"
242;"1941"
243;"1942"
244;"1943"
245;"1944"
246;"1945"
247;"1946"
248;"1947"
249;"1948"
250;"1949"
251;"1950"
252;"1951"
253;"1952"
254;"1953"
255;"1954"
256;"1955"
257;"1956"
258;"1957"
259;"1958"
260;"1959"
261;"1960"
262;"1961"
263;"1962"
264;"1963"
265;"1964"
266;"1965"
267;"1966"
268;"1967"
269;"1968"
270;"1969"
271;"1970"
272;"1971"
273;"1972"
274;"1973"
275;"1974"
276;"1975"
277;"1976"
278;"1977"
279;"1978"
280;"1979"
281;"1980"
282;"1981"
283;"1982"
284;"1983"
285;"1984"
286;"1985"
287;"1986"
288;"1987"
289;"1988"
290;"1989"
291;"1990"
292;"1991"
293;"1992"
294;"1993"
295;"1994"
296;"1995"
297;"1996"
298;"1997"
299;"1998"
300;"1999"
301;"2000"
302;"2001"
303;"2002"
304;"2003"
305;"2004"
306;"2005"
307;"2006"
308;"2007"
309;"2008"
310;"2009"
311;"2010"
312;"2011"
313;"2012"
314;"2013"
315;"2014"
316;"2015"
317;"2016"
318;"2017"
319;"2018"
320;"2019"
321;"2020"
322;"2021"
323;"2022"
324;"2023"
325;"2024"
326;"2025"
