"ID_Area";"Nombre_Tipo"
1;"Parque Nacional Marino"
2;"Area de manejo de habitat/especie"
3;"Refugio de Vida Silvestre"
4;"Parque Nacional"
5;"Monumento Natural"
6;"Monumento Natural Marino"
7;"Reserva Biologica"
8;"Area de Uso Multiple"
9;"Monumento Cultural"
10;"Area Productora de Agua"
11;"Zona Productora de Agua"
12;"Reserva de Recursos"
13;"Reserva Forestal"
14;"Jardin Botanico y Centro de Investigacion"
15;"Reserva Forestal Antropológica"
16;"Zona de Reserva Ecologica"
17;"Reserva Antropológica y Forestal"
18;"Reserva de Biosfera"
19;"Zona de Reserva"
